gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10
1002360213,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview,WC,2017-W,43001.0018402778,1.1,1,7.18,1,Blue,Top,957,Team WE,Cho'gath,Rek'Sai,Alistar,Tristana,Karma,Shen,47.1666666667,1,2,4,5,11,15,0,0,0,0,0,0,0,9.9846166667,0.0424028269,0,0.5512367491,0,9.8574333333,3,2,0,0,0,0,0,0,0,0,1,,1,13.24485,1,1,10,4,1,30.3641833333,2,0,9560,202.6855123675,0.0908952613,0.170002556,26,0.5512367491,0.1625,11,0.2332155477,2,2, , ,16005,211.5180212014,13600,0.011090573,280,6,3,0,6.0636042403,3349,3153,196,4880,4788,92,5025,4556,469
1002360213,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview,WC,2017-W,43001.0018402778,1.1,1,7.18,2,Blue,Jungle,Condi,Team WE,Gragas,Rek'Sai,Alistar,Tristana,Karma,Shen,47.1666666667,1,0,4,8,11,15,0,0,0,0,0,0,1,9.9846166667,0,0.0424028269,0.5512367491,1,9.8574333333,3,2,2,0,1,1,0,0,0,0,1,,1,13.24485,1,1,10,4,1,30.3641833333,2,0,9883,209.5335689046,0.0939663041,0.1535929113,48,1.0176678445,0.3,20,0.4240282686,15,18, , ,15042,191.1010600707,13825,0.1167464115,25,146,93,12,3.6254416961,2956,2667,289,4323,4234,89,3318,3332,-14
1002360213,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview,WC,2017-W,43001.0018402778,1.1,1,7.18,3,Blue,Middle,xiye,Team WE,Corki,Rek'Sai,Alistar,Tristana,Karma,Shen,47.1666666667,1,6,1,5,11,15,0,0,0,0,0,0,0,9.9846166667,0.1272084806,0.1060070671,0.5512367491,0,9.8574333333,3,2,0,0,0,0,0,0,0,0,1,,1,13.24485,1,1,10,4,1,30.3641833333,2,0,43306,918.148409894,0.4117479273,0.2585601091,9,0.1908127208,0.05625,25,0.5300353357,3,5, , ,21202,321.7017667845,18208,0.1075293709,417,18,13,3,9.222614841,3140,3875,-735,5147,5799,-652,4592,5083,-491
1002360213,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview,WC,2017-W,43001.0018402778,1.1,1,7.18,4,Blue,ADC,Mystic,Team WE,Xayah,Rek'Sai,Alistar,Tristana,Karma,Shen,47.1666666667,1,3,3,5,11,15,0,0,0,0,0,0,0,9.9846166667,0.0636042403,0.1696113074,0.5512367491,0,9.8574333333,3,2,0,2,0,0,0,0,1,0,1,,1,13.24485,1,1,10,4,1,30.3641833333,2,0,39632,840.2544169611,0.3768160037,0.2430365511,17,0.3604240283,0.10625,24,0.5088339223,1,1, , ,20291,302.3872791519,17775,-0.1318970047,402,31,20,5,9.1802120141,3142,3230,-88,5372,5176,196,3112,3081,31
1002360213,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview,WC,2017-W,43001.0018402778,1.1,1,7.18,5,Blue,Support,Ben,Team WE,Janna,Rek'Sai,Alistar,Tristana,Karma,Shen,47.1666666667,1,0,3,10,11,15,0,0,0,0,0,0,0,9.9846166667,0,0,0.5512367491,0,9.8574333333,3,2,0,0,0,0,0,0,0,0,1,,1,13.24485,1,1,10,4,1,30.3641833333,2,0,2795,59.25795053,0.0265745037,0.1748078725,60,1.2720848057,0.375,13,0.2756183746,19,20, , ,16287,217.496819788,14100,0.1818181818,15,0,0,0,0.3180212014,2533,2051,482,4256,3300,956,3053,2882,171
1002360213,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview,WC,2017-W,43001.0018402778,1.1,1,7.18,6,Red,Top,Jirall,Lyon Gaming,Maokai,Kalista,Sejuani,Jarvan IV,LeBlanc,Galio,47.1666666667,0,0,3,13,15,11,0,0,0,0,0,1,0,9.9846166667,0,0.0424028269,0.5512367491,0,9.8574333333,2,3,0,0,0,0,0,0,0,0,0,,0,13.24485,0,0,4,10,0,30.3641833333,0,2,18512,392.480565371,0.160723743,0.1597467424,24,0.5088339223,0.1379310345,10,0.2120141343,7,8, , ,13421,156.7335689046,13450,-0.011090573,280,9,9,0,6.1272084806,3153,3349,-196,4788,4880,-92,4556,5025,-469
1002360213,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview,WC,2017-W,43001.0018402778,1.1,1,7.18,7,Red,Jungle,Oddie,Lyon Gaming,Lee Sin,Kalista,Sejuani,Jarvan IV,LeBlanc,Galio,47.1666666667,0,2,3,10,15,11,0,0,0,0,0,1,0,9.9846166667,0.0424028269,0,0.5512367491,0,9.8574333333,2,3,0,2,0,0,0,0,0,0,0,,0,13.24485,0,0,4,10,0,30.3641833333,0,2,7559,160.2614840989,0.0656282829,0.1424163191,48,1.0176678445,0.275862069,5,0.1060070671,11,11, , ,12619,139.7300353357,12300,-0.1167464115,29,121,76,3,3.1802120141,2667,2956,-289,4234,4323,-89,3332,3318,14
1002360213,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview,WC,2017-W,43001.0018402778,1.1,1,7.18,8,Red,Middle,Seiya,Lyon Gaming,Syndra,Kalista,Sejuani,Jarvan IV,LeBlanc,Galio,47.1666666667,0,5,1,9,15,11,1,0,0,0,1,0,0,9.9846166667,0.1060070671,0.1272084806,0.5512367491,0,9.8574333333,2,3,0,0,0,0,0,0,0,0,0,,0,13.24485,0,0,4,10,0,30.3641833333,0,2,32273,684.2332155477,0.2801986473,0.25268708,14,0.296819788,0.0804597701,14,0.296819788,10,12, , ,17722,247.9208480565,16350,-0.1075293709,365,38,21,0,8.5441696113,3875,3140,735,5799,5147,652,5083,4592,491
1002360213,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview,WC,2017-W,43001.0018402778,1.1,1,7.18,9,Red,ADC,WhiteLotus,Lyon Gaming,Kog'Maw,Kalista,Sejuani,Jarvan IV,LeBlanc,Galio,47.1666666667,0,8,1,7,15,11,2,0,0,0,0,1,0,9.9846166667,0.1696113074,0.0636042403,0.5512367491,0,9.8574333333,2,3,2,0,1,0,0,1,0,1,0,,0,13.24485,0,0,4,10,0,30.3641833333,0,2,49255,1044.2756183746,0.4276387189,0.3195453465,18,0.3816254417,0.1034482759,17,0.3604240283,3,3, , ,20816,313.5180212014,20285,0.1318970047,421,39,27,2,9.7526501767,3230,3142,88,5176,5372,-196,3081,3112,-31
1002360213,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview,WC,2017-W,43001.0018402778,1.1,1,7.18,10,Red,Support,Genthix,Lyon Gaming,Braum,Kalista,Sejuani,Jarvan IV,LeBlanc,Galio,47.1666666667,0,0,3,15,15,11,0,0,0,0,0,1,0,9.9846166667,0,0,0.5512367491,0,9.8574333333,2,3,0,0,0,0,0,0,0,0,0,,0,13.24485,0,0,4,10,0,30.3641833333,0,2,7580,160.7067137809,0.0658106078,0.125604512,70,1.4840989399,0.4022988506,15,0.3180212014,20,20, , ,11841,123.235335689,11750,-0.1818181818,70,0,0,0,1.4840989399,2051,2533,-482,3300,4256,-956,2882,3053,-171
